ID,Name,Origin,Refl_file,Specular,Refl_file_all_config,m_w,m_d,m_sh,SMCg,Clay,Silt,Sand,OM,CaCO3,Fe,CO,L,eps,d,K,a,psi,Slope,Intercept
48,Soil 48,nan,liu02_192.csv,0,liu02_all_config_192.csv,178.8,178.8,12.0,0.0,9,5,986,0.3,5,0.96,0.2,0.0000,0.00,0.0000,15.15,110.90,5060.87,1.0500,0.0094
49,Soil 49,nan,liu02_193.csv,0,liu02_all_config_193.csv,171.1,127.8,12.0,37.4,179,714,107,35.9,1,0.85,20.9,0.0221,0.54,0.0926,41.14,2.90,266.05,1.2030,0.0216
49,Soil 49,nan,liu02_194.csv,0,liu02_all_config_194.csv,159.4,127.8,12.0,27.3,179,714,107,35.9,1,0.85,20.9,0.0124,0.55,0.1307,41.14,2.90,266.05,1.2030,0.0216
49,Soil 49,nan,liu02_195.csv,0,liu02_all_config_195.csv,143.2,127.8,12.0,13.3,179,714,107,35.9,1,0.85,20.9,0.0031,0.36,0.0609,41.14,2.90,266.05,1.2030,0.0216
49,Soil 49,nan,liu02_196.csv,0,liu02_all_config_196.csv,127.8,127.8,12.0,0.0,179,714,107,35.9,1,0.85,20.9,0.0000,0.00,0.0000,41.14,2.90,266.05,1.2030,0.0216
50,Soil 50,nan,liu02_197.csv,0,liu02_all_config_197.csv,176.8,119.8,12.0,52.9,600,261,139,62.1,569,1.68,36.1,0.0224,0.58,0.0350,58.19,8.09,320.84,1.0863,0.0285
50,Soil 50,nan,liu02_198.csv,0,liu02_all_config_198.csv,160.8,119.8,12.0,38.0,600,261,139,62.1,569,1.68,36.1,0.0159,0.55,0.0508,58.19,8.09,320.84,1.0863,0.0285
50,Soil 50,nan,liu02_199.csv,0,liu02_all_config_199.csv,139.6,119.8,12.0,18.4,600,261,139,62.1,569,1.68,36.1,0.0082,0.48,0.0707,58.19,8.09,320.84,1.0863,0.0285
50,Soil 50,nan,liu02_200.csv,0,liu02_all_config_200.csv,119.8,119.8,12.0,0.0,600,261,139,62.1,569,1.68,36.1,0.0000,0.00,0.0000,58.19,8.09,320.84,1.0863,0.0285
51,Soil 51,BeiJing(China),liu02_201.csv,0,liu02_all_config_201.csv,165.6,134.7,12.0,25.2,193,552,255,16.5,7,2.99,9.6,0.0054,0.88,0.1026,27.72,804.61,1863.46,1.0991,0.0158
51,Soil 51,BeiJing(China),liu02_202.csv,0,liu02_all_config_202.csv,151,134.7,12.0,13.3,193,552,255,16.5,7,2.99,9.6,0.0073,0.49,0.1520,27.72,804.61,1863.46,1.0991,0.0158
51,Soil 51,BeiJing(China),liu02_203.csv,0,liu02_all_config_203.csv,137.9,134.7,12.0,2.6,193,552,255,16.5,7,2.99,9.6,0.0051,0.05,0.0056,27.72,804.61,1863.46,1.0991,0.0158
51,Soil 51,BeiJing(China),liu02_204.csv,0,liu02_all_config_204.csv,134.7,134.7,12.0,0.0,193,552,255,16.5,7,2.99,9.6,0.0000,0.00,0.0000,27.72,804.61,1863.46,1.0991,0.0158
52,Soil 52,GuangXi(China),liu02_205.csv,0,liu02_all_config_205.csv,180,119.3,12.0,56.6,180,651,168,62.4,2,0.78,36.3,0.0355,0.58,0.0608,62.26,3.84,165.02,1.1248,0.0197
52,Soil 52,GuangXi(China),liu02_206.csv,0,liu02_all_config_206.csv,155.7,119.3,12.0,33.9,180,651,168,62.4,2,0.78,36.3,0.0182,0.54,0.1222,62.26,3.84,165.02,1.1248,0.0197
52,Soil 52,GuangXi(China),liu02_207.csv,0,liu02_all_config_207.csv,138.3,119.3,12.0,17.7,180,651,168,62.4,2,0.78,36.3,0.0052,0.38,0.1188,62.26,3.84,165.02,1.1248,0.0197
52,Soil 52,GuangXi(China),liu02_208.csv,0,liu02_all_config_208.csv,119.3,119.3,12.0,0.0,180,651,168,62.4,2,0.78,36.3,0.0000,0.00,0.0000,62.26,3.84,165.02,1.1248,0.0197
