ID,Name,Refl_file,Specular,m_d_tot,m_d,m_w_tot,V_tot,SMCv,SMCg,Clay,Silt,Sand,Density,OM,L,eps,d,K,a,psi,Slope,Intercept
1,Ithaca soil,phil14_063.csv,0,57.34,26.94,64.34,24.50,28.57,25.98,192,770,38,0.95,53,0.0115,0.45,0.1173,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_064.csv,0,57.34,26.94,64.23,24.50,28.12,25.58,192,770,38,0.95,53,0.0125,0.42,0.1218,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_065.csv,0,57.34,26.94,64.13,24.50,27.71,25.20,192,770,38,0.95,53,0.0105,0.44,0.1274,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_066.csv,0,57.34,26.94,64.02,24.50,27.27,24.80,192,770,38,0.95,53,0.0087,0.45,0.1306,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_067.csv,0,57.34,26.94,63.92,24.50,26.86,24.42,192,770,38,0.95,53,0.0086,0.45,0.1265,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_068.csv,0,57.34,26.94,63.82,24.50,26.45,24.05,192,770,38,0.95,53,0.0082,0.45,0.1275,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_069.csv,0,57.34,26.94,63.72,24.50,26.04,23.68,192,770,38,0.95,53,0.0099,0.41,0.1270,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_070.csv,0,57.34,26.94,63.62,24.50,25.63,23.31,192,770,38,0.95,53,0.0081,0.44,0.1289,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_071.csv,0,57.34,26.94,63.52,24.50,25.22,22.94,192,770,38,0.95,53,0.0089,0.42,0.1226,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_072.csv,0,57.34,26.94,63.42,24.50,24.82,22.57,192,770,38,0.95,53,0.0073,0.44,0.1186,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_073.csv,0,57.34,26.94,63.31,24.50,24.37,22.16,192,770,38,0.95,53,0.0073,0.43,0.1227,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_074.csv,0,57.34,26.94,63.22,24.50,24.00,21.83,192,770,38,0.95,53,0.0072,0.42,0.1226,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_075.csv,0,57.34,26.94,63.11,24.50,23.55,21.42,192,770,38,0.95,53,0.0064,0.42,0.1313,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_076.csv,0,57.34,26.94,63.02,24.50,23.18,21.08,192,770,38,0.95,53,0.0074,0.40,0.1241,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_077.csv,0,57.34,26.94,62.92,24.50,22.78,20.71,192,770,38,0.95,53,0.0024,0.63,0.0369,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_078.csv,0,57.34,26.94,62.82,24.50,22.37,20.34,192,770,38,0.95,53,0.0071,0.39,0.1211,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_079.csv,0,57.34,26.94,62.72,24.50,21.96,19.97,192,770,38,0.95,53,0.0064,0.39,0.1198,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_080.csv,0,57.34,26.94,62.62,24.50,21.55,19.60,192,770,38,0.95,53,0.0063,0.39,0.1147,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_081.csv,0,57.34,26.94,62.52,24.50,21.14,19.23,192,770,38,0.95,53,0.0054,0.38,0.1263,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_082.csv,0,57.34,26.94,62.43,24.50,20.78,18.89,192,770,38,0.95,53,0.0057,0.37,0.1211,41.87,7.35,910.85,1.1161,0.0156
