wavelength,Refrac_leafm,SC_chl,SC_car,SC_Anth,SC_Brwon,SC_Cw,SC_Cm,direct_light,diffuse_light,dry_soil,wet_soil
532,1.4801,4.48E-03,2.88E-02,7.25E-02,3.82E-01,4.45E-04,2.30E+00,1.24E+00,2.04E+00,2.50E-01,2.59E-02
533,1.4797,4.73E-03,2.70E-02,7.25E-02,3.80E-01,4.51E-04,2.30E+00,1.25E+00,2.04E+00,2.50E-01,2.59E-02
534,1.4794,4.99E-03,2.52E-02,7.25E-02,3.78E-01,4.56E-04,2.30E+00,1.25E+00,2.04E+00,2.51E-01,2.59E-02
535,1.4791,5.27E-03,2.35E-02,7.25E-02,3.76E-01,4.63E-04,2.30E+00,1.25E+00,2.03E+00,2.51E-01,2.59E-02
536,1.4788,5.56E-03,2.18E-02,7.25E-02,3.74E-01,4.70E-04,2.30E+00,1.26E+00,2.03E+00,2.52E-01,2.61E-02
537,1.4784,5.87E-03,2.02E-02,7.24E-02,3.72E-01,4.75E-04,2.30E+00,1.26E+00,2.03E+00,2.52E-01,2.64E-02
538,1.4781,6.17E-03,1.86E-02,7.23E-02,3.70E-01,4.80E-04,2.30E+00,1.27E+00,2.02E+00,2.53E-01,2.66E-02
539,1.4777,6.48E-03,1.71E-02,7.22E-02,3.68E-01,4.88E-04,2.30E+00,1.27E+00,2.02E+00,2.53E-01,2.68E-02
540,1.4774,6.79E-03,1.56E-02,7.21E-02,3.65E-01,4.95E-04,2.30E+00,1.28E+00,2.02E+00,2.54E-01,2.70E-02
541,1.4771,7.09E-03,1.42E-02,7.18E-02,3.64E-01,4.98E-04,2.30E+00,1.28E+00,2.01E+00,2.54E-01,2.70E-02
542,1.4767,7.39E-03,1.28E-02,7.16E-02,3.63E-01,5.03E-04,2.30E+00,1.28E+00,2.00E+00,2.55E-01,2.70E-02
543,1.4764,7.67E-03,1.15E-02,7.13E-02,3.61E-01,5.14E-04,2.30E+00,1.28E+00,2.00E+00,2.55E-01,2.70E-02
544,1.476,7.95E-03,1.03E-02,7.11E-02,3.60E-01,5.27E-04,2.30E+00,1.28E+00,1.99E+00,2.56E-01,2.70E-02
545,1.4757,8.21E-03,9.10E-03,7.07E-02,3.58E-01,5.36E-04,2.30E+00,1.28E+00,1.98E+00,2.56E-01,2.70E-02
546,1.4753,8.45E-03,7.98E-03,7.03E-02,3.57E-01,5.44E-04,2.30E+00,1.29E+00,1.98E+00,2.57E-01,2.74E-02
547,1.475,8.68E-03,6.93E-03,6.98E-02,3.55E-01,5.53E-04,2.30E+00,1.29E+00,1.97E+00,2.57E-01,2.77E-02
548,1.4746,8.90E-03,5.95E-03,6.94E-02,3.54E-01,5.64E-04,2.30E+00,1.29E+00,1.96E+00,2.58E-01,2.81E-02
549,1.4743,9.11E-03,5.03E-03,6.88E-02,3.53E-01,5.76E-04,2.30E+00,1.29E+00,1.95E+00,2.58E-01,2.84E-02
550,1.4739,9.31E-03,4.19E-03,6.81E-02,3.51E-01,5.88E-04,2.30E+00,1.29E+00,1.95E+00,2.59E-01,2.88E-02
551,1.4735,9.50E-03,3.42E-03,6.74E-02,3.50E-01,6.00E-04,2.30E+00,1.29E+00,1.94E+00,2.59E-01,2.88E-02
552,1.4732,9.68E-03,2.72E-03,6.67E-02,3.49E-01,6.11E-04,2.30E+00,1.29E+00,1.93E+00,2.60E-01,2.88E-02
553,1.4728,9.86E-03,2.09E-03,6.59E-02,3.48E-01,6.22E-04,2.30E+00,1.30E+00,1.93E+00,2.60E-01,2.88E-02
554,1.4725,1.00E-02,1.55E-03,6.51E-02,3.47E-01,6.31E-04,2.30E+00,1.30E+00,1.92E+00,2.61E-01,2.88E-02
555,1.4721,1.02E-02,1.08E-03,6.42E-02,3.46E-01,6.39E-04,2.30E+00,1.30E+00,1.91E+00,2.61E-01,2.88E-02
556,1.4717,1.04E-02,6.98E-04,6.34E-02,3.45E-01,6.46E-04,2.30E+00,1.30E+00,1.90E+00,2.62E-01,2.88E-02
557,1.4713,1.06E-02,3.95E-04,6.24E-02,3.43E-01,6.52E-04,2.30E+00,1.30E+00,1.90E+00,2.63E-01,2.88E-02
