ID_Parcela,Treatment,Nitrogen,wave,RFL
10A,CAN+DMPSA,N2,678,0.04485159
10A,CAN+DMPSA,N2,679,0.04529755
10A,CAN+DMPSA,N2,680,0.04621741
10A,CAN+DMPSA,N2,681,0.0473404
10A,CAN+DMPSA,N2,682,0.04846338
10A,CAN+DMPSA,N2,683,0.04958637
10A,CAN+DMPSA,N2,684,0.05070935
10A,CAN+DMPSA,N2,685,0.05183234
10A,CAN+DMPSA,N2,686,0.05295533
10A,CAN+DMPSA,N2,687,0.05407831
10A,CAN+DMPSA,N2,688,0.0552013
10A,CAN+DMPSA,N2,689,0.05672576
10A,CAN+DMPSA,N2,690,0.05887821
10A,CAN+DMPSA,N2,691,0.06103067
10A,CAN+DMPSA,N2,692,0.06318312
10A,CAN+DMPSA,N2,693,0.06533558
10A,CAN+DMPSA,N2,694,0.06748803
10A,CAN+DMPSA,N2,695,0.06964049
10A,CAN+DMPSA,N2,696,0.07179294
10A,CAN+DMPSA,N2,697,0.07394539
10A,CAN+DMPSA,N2,698,0.07622054
10A,CAN+DMPSA,N2,699,0.07990687
10A,CAN+DMPSA,N2,700,0.0835932
10A,CAN+DMPSA,N2,701,0.08727953
10A,CAN+DMPSA,N2,702,0.09096586
10A,CAN+DMPSA,N2,703,0.09465219
10A,CAN+DMPSA,N2,704,0.09833852
10A,CAN+DMPSA,N2,705,0.10202485
10A,CAN+DMPSA,N2,706,0.10571118
10A,CAN+DMPSA,N2,707,0.10939751
10A,CAN+DMPSA,N2,708,0.1145838
10A,CAN+DMPSA,N2,709,0.12021817
10A,CAN+DMPSA,N2,710,0.12585254
10A,CAN+DMPSA,N2,711,0.1314869
10A,CAN+DMPSA,N2,712,0.13712127
10A,CAN+DMPSA,N2,713,0.14275563
10A,CAN+DMPSA,N2,714,0.14839
10A,CAN+DMPSA,N2,715,0.15402436
10A,CAN+DMPSA,N2,716,0.15965873
10A,CAN+DMPSA,N2,717,0.16534476
10A,CAN+DMPSA,N2,718,0.17109144
10A,CAN+DMPSA,N2,719,0.17683812
10A,CAN+DMPSA,N2,720,0.1825848
10A,CAN+DMPSA,N2,721,0.18833148
10A,CAN+DMPSA,N2,722,0.19407815
10A,CAN+DMPSA,N2,723,0.19982483
10A,CAN+DMPSA,N2,724,0.20557151
10A,CAN+DMPSA,N2,725,0.21131819
10A,CAN+DMPSA,N2,726,0.21713225
10A,CAN+DMPSA,N2,727,0.22332812
10A,CAN+DMPSA,N2,728,0.22952399
10A,CAN+DMPSA,N2,729,0.23571986
10A,CAN+DMPSA,N2,730,0.24191572
10A,CAN+DMPSA,N2,731,0.24811159
10A,CAN+DMPSA,N2,732,0.25430746
10A,CAN+DMPSA,N2,733,0.26050333
10A,CAN+DMPSA,N2,734,0.2666992
10A,CAN+DMPSA,N2,735,0.27289507
10A,CAN+DMPSA,N2,736,0.27849474
10A,CAN+DMPSA,N2,737,0.28398085
10A,CAN+DMPSA,N2,738,0.28946696
10A,CAN+DMPSA,N2,739,0.29495307
10A,CAN+DMPSA,N2,740,0.30043918
10A,CAN+DMPSA,N2,741,0.30592529
10A,CAN+DMPSA,N2,742,0.3114114
10A,CAN+DMPSA,N2,743,0.31689751
10A,CAN+DMPSA,N2,744,0.32238362
10A,CAN+DMPSA,N2,745,0.32706777
10A,CAN+DMPSA,N2,746,0.33104076
10A,CAN+DMPSA,N2,747,0.33501374
10A,CAN+DMPSA,N2,748,0.33898672
10A,CAN+DMPSA,N2,749,0.34295971
10A,CAN+DMPSA,N2,750,0.34693269
10A,CAN+DMPSA,N2,751,0.35090567
10A,CAN+DMPSA,N2,752,0.35487866
10A,CAN+DMPSA,N2,753,0.35885164
10A,CAN+DMPSA,N2,754,0.36219096
10A,CAN+DMPSA,N2,755,0.3632837
10A,CAN+DMPSA,N2,756,0.36437643
10A,CAN+DMPSA,N2,757,0.36546916
10A,CAN+DMPSA,N2,758,0.36656189
10A,CAN+DMPSA,N2,759,0.36765462
10A,CAN+DMPSA,N2,760,0.36874735
10A,CAN+DMPSA,N2,761,0.36984008
10A,CAN+DMPSA,N2,762,0.37093282
10A,CAN+DMPSA,N2,763,0.37202555
10A,CAN+DMPSA,N2,764,0.37311828
10A,CAN+DMPSA,N2,765,0.37421101
10A,CAN+DMPSA,N2,766,0.37530374
10A,CAN+DMPSA,N2,767,0.37639647
10A,CAN+DMPSA,N2,768,0.37748921
10A,CAN+DMPSA,N2,769,0.37858194
10A,CAN+DMPSA,N2,770,0.37967467
10A,CAN+DMPSA,N2,771,0.3807674
10A,CAN+DMPSA,N2,772,0.38186013
10A,CAN+DMPSA,N2,773,0.38255082
10A,CAN+DMPSA,N2,774,0.38297348
10A,CAN+DMPSA,N2,775,0.38339615
10A,CAN+DMPSA,N2,776,0.38381881
10A,CAN+DMPSA,N2,777,0.38424148
10A,CAN+DMPSA,N2,778,0.38466414
10A,CAN+DMPSA,N2,779,0.3850868
10A,CAN+DMPSA,N2,780,0.38550947
10A,CAN+DMPSA,N2,781,0.38593213
10A,CAN+DMPSA,N2,782,0.38630005
10A,CAN+DMPSA,N2,783,0.38653392
10A,CAN+DMPSA,N2,784,0.38676779
10A,CAN+DMPSA,N2,785,0.38700167
10A,CAN+DMPSA,N2,786,0.38723554
10A,CAN+DMPSA,N2,787,0.38746942
10A,CAN+DMPSA,N2,788,0.38770329
10A,CAN+DMPSA,N2,789,0.38793716
10A,CAN+DMPSA,N2,790,0.38817104
10A,CAN+DMPSA,N2,791,0.38840491
10A,CAN+DMPSA,N2,792,0.38921161
10A,CAN+DMPSA,N2,793,0.39002999
10A,CAN+DMPSA,N2,794,0.39084837
10A,CAN+DMPSA,N2,795,0.39166675
10A,CAN+DMPSA,N2,796,0.39248513
10A,CAN+DMPSA,N2,797,0.39330351
10A,CAN+DMPSA,N2,798,0.39412189
10A,CAN+DMPSA,N2,799,0.39494027
10A,CAN+DMPSA,N2,800,0.39575865
10A,CAN+DMPSA,N2,801,0.39630379
10A,CAN+DMPSA,N2,802,0.39671435
10A,CAN+DMPSA,N2,803,0.39712492
10A,CAN+DMPSA,N2,804,0.39753548
10A,CAN+DMPSA,N2,805,0.39794604
10A,CAN+DMPSA,N2,806,0.39835661
10A,CAN+DMPSA,N2,807,0.39876717
10A,CAN+DMPSA,N2,808,0.39917773
10A,CAN+DMPSA,N2,809,0.3995883
10A,CAN+DMPSA,N2,810,0.39989758
10A,CAN+DMPSA,N2,811,0.40002681
10A,CAN+DMPSA,N2,812,0.40015604
10A,CAN+DMPSA,N2,813,0.40028527
10A,CAN+DMPSA,N2,814,0.4004145
10A,CAN+DMPSA,N2,815,0.40054373
10A,CAN+DMPSA,N2,816,0.40067296
10A,CAN+DMPSA,N2,817,0.40080219
10A,CAN+DMPSA,N2,818,0.40093142
10A,CAN+DMPSA,N2,819,0.40112791
10A,CAN+DMPSA,N2,820,0.40260188
10A,CAN+DMPSA,N2,821,0.40407584
10A,CAN+DMPSA,N2,822,0.4055498
10A,CAN+DMPSA,N2,823,0.40702376
10A,CAN+DMPSA,N2,824,0.40849773
10A,CAN+DMPSA,N2,825,0.40997169
10A,CAN+DMPSA,N2,826,0.41144565
10A,CAN+DMPSA,N2,827,0.41291961
10A,CAN+DMPSA,N2,828,0.41439358
10A,CAN+DMPSA,N2,829,0.41604549
10A,CAN+DMPSA,N2,830,0.41775991
10A,CAN+DMPSA,N2,831,0.41947434
10A,CAN+DMPSA,N2,832,0.42118876
10A,CAN+DMPSA,N2,833,0.42290319
10A,CAN+DMPSA,N2,834,0.42461761
10A,CAN+DMPSA,N2,835,0.42633204
10A,CAN+DMPSA,N2,836,0.42804646
10A,CAN+DMPSA,N2,837,0.42976088
10A,CAN+DMPSA,N2,838,0.43137621
10A,CAN+DMPSA,N2,839,0.4328602
10A,CAN+DMPSA,N2,840,0.43434418
10A,CAN+DMPSA,N2,841,0.43582816
10A,CAN+DMPSA,N2,842,0.43731215
10A,CAN+DMPSA,N2,843,0.43879613
10A,CAN+DMPSA,N2,844,0.44028012
10A,CAN+DMPSA,N2,845,0.4417641
10A,CAN+DMPSA,N2,846,0.44324808
10A,CAN+DMPSA,N2,847,0.44455975
10A,CAN+DMPSA,N2,848,0.44460807
10A,CAN+DMPSA,N2,849,0.44465639
10A,CAN+DMPSA,N2,850,0.44470472
10A,CAN+DMPSA,N2,851,0.44475304
10A,CAN+DMPSA,N2,852,0.44480136
10A,CAN+DMPSA,N2,853,0.44484968
10A,CAN+DMPSA,N2,854,0.44489801
10A,CAN+DMPSA,N2,855,0.44494633
10A,CAN+DMPSA,N2,856,0.44499465
10A,CAN+DMPSA,N2,857,0.44504297
10A,CAN+DMPSA,N2,858,0.4450913
10A,CAN+DMPSA,N2,859,0.44513962
10A,CAN+DMPSA,N2,860,0.44518794
10A,CAN+DMPSA,N2,861,0.44523626
10A,CAN+DMPSA,N2,862,0.44528458
10A,CAN+DMPSA,N2,863,0.44533291
10A,CAN+DMPSA,N2,864,0.44538123
10A,CAN+DMPSA,N2,865,0.44542955
10A,CAN+DMPSA,N2,866,0.44547787
10A,CAN+DMPSA,N2,867,0.4455262
10A,CAN+DMPSA,N2,868,0.44557452
10A,CAN+DMPSA,N2,869,0.44562284
10A,CAN+DMPSA,N2,870,0.44567116
10A,CAN+DMPSA,N2,871,0.44571949
10A,CAN+DMPSA,N2,872,0.44576781
10A,CAN+DMPSA,N2,873,0.44581613
10A,CAN+DMPSA,N2,874,0.44586445
10A,CAN+DMPSA,N2,875,0.44591278
10A,CAN+DMPSA,N2,876,0.4459611
10A,CAN+DMPSA,N2,877,0.44600942
10A,CAN+DMPSA,N2,878,0.44605774
10A,CAN+DMPSA,N2,879,0.44610607
10A,CAN+DMPSA,N2,880,0.44615439
10A,CAN+DMPSA,N2,881,0.44620271
10A,CAN+DMPSA,N2,882,0.44625103
10A,CAN+DMPSA,N2,883,0.44629935
10A,CAN+DMPSA,N2,884,0.44634768
10A,CAN+DMPSA,N2,885,0.446396
10A,CAN+DMPSA,N2,886,0.44644432
10A,CAN+DMPSA,N2,887,0.44649264
10A,CAN+DMPSA,N2,888,0.44654097
10A,CAN+DMPSA,N2,889,0.44658929
10A,CAN+DMPSA,N2,890,0.44663761
10A,CAN+DMPSA,N2,891,0.44668593
10A,CAN+DMPSA,N2,892,0.44673426
10A,CAN+DMPSA,N2,893,0.44678258
10A,CAN+DMPSA,N2,894,0.4468309
10A,CAN+DMPSA,N2,895,0.44687922
10A,CAN+DMPSA,N2,896,0.44692755
10A,CAN+DMPSA,N2,897,0.44697587
10A,CAN+DMPSA,N2,898,0.44702419
10A,CAN+DMPSA,N2,899,0.44707251
10A,CAN+DMPSA,N2,900,0.44712084
10A,CAN+DMPSA,N2,901,0.44716916
10A,CAN+DMPSA,N2,902,0.44721748
10A,CAN+DMPSA,N2,903,0.4472658
10A,CAN+DMPSA,N2,904,0.44731412
10A,CAN+DMPSA,N2,905,0.44736245
10A,CAN+DMPSA,N2,906,0.44741077
10A,CAN+DMPSA,N2,907,0.44745909
10A,CAN+DMPSA,N2,908,0.44750741
10A,CAN+DMPSA,N2,909,0.44755574
10A,CAN+DMPSA,N2,910,0.44760406
10A,CAN+DMPSA,N2,911,0.44765238
10A,CAN+DMPSA,N2,912,0.4477007
10A,CAN+DMPSA,N2,913,0.44774903
10A,CAN+DMPSA,N2,914,0.44779735
10A,CAN+DMPSA,N2,915,0.44784567
10A,CAN+DMPSA,N2,916,0.44789399
10A,CAN+DMPSA,N2,917,0.44794232
10A,CAN+DMPSA,N2,918,0.44799064
