Cab,Car,Anth,LMA,EWT,Cbrown,Prot,CBC,N,alpha,LIDFa,LIDFb,TypeLidf,LAI,hspot,tts,tto,psi,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
6.866706812,5.10946294,0.45860925,0.030454557,0.036975112,0.504752096,0.004736851,0.015479085,1.980504916,40,87.16480216,0,2,6.200503755,0.391644115,53.23170519,10.34257337,128.1925112,0.003753455,0.007134164,0.031154119,0.018881557,0.060586148,0.09771909,0.116330525,0.130589466,0.136969435,0.136075613,0.050111943,0.034314554,0.008887254
45.19094409,13.03610394,4.30136154,0.028782139,0.023825143,0.719600315,0.004457002,0.024753454,1.876404705,40,41.13913423,0,2,5.278489105,0.36854215,57.56545993,11.47254001,78.14271461,0.01854762,0.019251058,0.040938717,0.018902246,0.084722931,0.236743595,0.29627555,0.325227844,0.33807483,0.347177447,0.21424208,0.145709855,0.040048896
18.45486219,11.04925172,3.506455295,0.011774163,0.033994916,0.307300793,0.003324589,0.022546387,2.019342342,40,44.28696593,0,2,1.430116443,0.011813318,55.59040528,6.164483302,123.2205905,0.021489394,0.024239609,0.066497169,0.039010441,0.129033354,0.220377978,0.243462144,0.254881008,0.259409888,0.261272239,0.160777012,0.123472206,0.048748736
45.71838915,6.807078294,0.483934178,0.03400304,0.014394119,0.613346822,0.003471657,0.03162823,2.463411249,40,47.15546992,0,2,3.956957007,0.39779494,69.30215556,7.473809312,26.49647523,0.016295979,0.021139256,0.058866792,0.018382217,0.089885117,0.229743148,0.277854559,0.298483499,0.307443096,0.316669836,0.243231659,0.168749224,0.054476204
40.81120136,6.4618476,1.07466793,0.01382899,0.024958459,0.037007475,0.004236745,0.023721138,1.726577844,40,46.67000988,0,2,6.534343189,0.35261042,28.30602373,10.25050746,114.3029355,0.019510424,0.023611701,0.072900659,0.020702201,0.104577655,0.31259488,0.364955315,0.367600508,0.368324558,0.359676584,0.20570808,0.139495945,0.03729261
34.37220935,9.451977826,1.407661895,0.011870311,0.010116656,0.490648597,0.001124452,0.025194715,2.957325167,40,87.84659407,0,2,5.018161156,0.308814994,45.9772092,12.58498032,121.0473279,0.003257633,0.004248327,0.014709006,0.004950963,0.025990437,0.077501707,0.098417914,0.108149324,0.112520694,0.117518921,0.089888889,0.061506476,0.02127646
34.63280421,7.340735935,0.663296292,0.027380248,0.033665964,0.957647011,0.004358822,0.02838881,1.318271067,40,30.51151261,0,2,3.720481971,0.479446322,18.07740477,7.165520884,34.81727728,0.025516151,0.027306442,0.05283236,0.027276126,0.093120661,0.225466855,0.280375063,0.314569791,0.32988145,0.341050029,0.184918926,0.120432254,0.030495907
12.81301711,11.85174568,4.222391498,0.027555898,0.020355193,0.948373769,0.001021109,0.013633752,2.722063057,40,33.64196592,0,2,0.715492261,0.348693655,27.21691178,13.61040984,71.78018412,0.043540527,0.048520023,0.089811974,0.090390474,0.171499288,0.232686232,0.262717286,0.288404725,0.299638033,0.319427189,0.284500229,0.260387125,0.158270309
46.05461329,7.6561754,0.203157716,0.029011322,0.011899564,0.743608314,0.002991885,0.039014145,2.442501429,40,62.68881481,0,2,0.111877572,0.469295002,74.35163999,8.727595308,74.25764929,0.072073438,0.073434393,0.08822895,0.100983487,0.117970356,0.142181021,0.155740623,0.169383052,0.17508409,0.194157614,0.233904128,0.238324189,0.189147969
26.9316847,11.08426913,2.861636096,0.020610182,0.020941013,0.078469261,0.002241227,0.034707181,2.033925065,40,50.86798461,0,2,3.779635267,0.345090634,48.45800327,0.431097541,93.80876476,0.016807649,0.019961062,0.070438043,0.025292222,0.120101097,0.250523512,0.274722867,0.27805486,0.279262968,0.276576693,0.18424776,0.125658693,0.036423302
6.189963056,11.0481936,1.513640587,0.015145375,0.029369763,0.484810303,0.004059021,0.016889239,2.653461577,40,63.75146316,0,2,2.052325099,0.304644264,48.06477672,1.601796162,116.9771458,0.020377347,0.026166452,0.090601039,0.079173012,0.162888265,0.215578882,0.238911051,0.25694558,0.26457471,0.270627815,0.171868795,0.135569344,0.059653847
20.119343,14.00349718,3.766881067,0.039885873,0.03882251,0.717272108,0.002683483,0.034138935,1.914411086,40,69.12581928,0,2,2.836219147,0.373317665,47.49394205,0.977556892,124.4230833,0.012471641,0.0134924,0.033614022,0.022131952,0.073080227,0.129923873,0.151388041,0.16540264,0.171434054,0.175504597,0.100247514,0.072882627,0.027387691
48.98932187,3.296987287,3.118309475,0.002934178,0.036329023,0.04494412,0.001393598,0.038398624,2.794165877,40,57.99376967,0,2,6.814267947,0.062661507,59.09594797,5.314850797,53.65187654,0.013208411,0.020680044,0.049618379,0.014698211,0.077890832,0.212682023,0.244378969,0.245489134,0.245707974,0.238715117,0.131873469,0.091580329,0.026426873
49.13137598,15.07180195,2.162631399,0.02658083,0.014663488,0.515457163,0.002915637,0.037754868,2.135448018,40,50.69481857,0,2,2.302772686,0.068859544,53.21561559,6.299510293,64.0913738,0.016530559,0.017121145,0.041383573,0.017733582,0.067461406,0.175807408,0.20956085,0.222124352,0.227430635,0.233128022,0.183141196,0.125858791,0.040831628
21.24238499,11.84055696,3.865890368,0.019964264,0.014471705,0.899644924,0.001759847,0.011757764,1.727304164,40,53.35979122,0,2,1.784069435,0.425311435,74.2015824,6.02615929,116.4502216,0.016544768,0.01733783,0.041967444,0.025161678,0.104104441,0.20835887,0.255768472,0.290782303,0.307022922,0.32772748,0.247573647,0.196142572,0.07853805
7.724729875,13.6147818,0.808395776,0.011455534,0.012742627,0.710409468,0.001273305,0.017768591,1.491261014,40,54.53105176,0,2,6.889648448,0.237599433,54.66891107,6.589490486,33.48636892,0.015706704,0.017302773,0.076956031,0.053993726,0.153414484,0.232399814,0.273813795,0.307869411,0.323747769,0.339722024,0.237804606,0.170447981,0.055986576
25.73004473,10.65127305,2.125744557,0.029817898,0.022230064,0.482996751,0.00177209,0.038914604,1.149668379,40,35.70836243,0,2,3.889474239,0.295305948,36.55071511,8.550390961,82.08411041,0.021118695,0.021883033,0.047675165,0.022677457,0.088212166,0.191364264,0.221443508,0.23547602,0.241293323,0.244278535,0.15292688,0.094113686,0.021163231
35.63912064,14.42380983,1.109713297,0.027303614,0.019386199,0.231857635,0.004597894,0.019631189,1.135703762,40,58.97447747,0,2,2.838319498,0.299945041,15.38036486,4.991482124,37.686766,0.020539447,0.021742992,0.049852228,0.026269032,0.078554679,0.216821223,0.257944539,0.270666523,0.275811378,0.279916774,0.187034356,0.135022517,0.051172592
37.5550914,15.11557779,1.859410739,0.007651107,0.02384881,0.820538738,0.002199944,0.013583326,2.805492994,40,88.97077083,0,2,4.564046082,0.289285905,16.68303596,5.700952008,47.96354898,0.015262486,0.017661193,0.028829772,0.030190827,0.04726889,0.083041967,0.104528177,0.121451972,0.129565114,0.143586655,0.118364272,0.111451334,0.076729486
15.79904367,8.510662007,2.431590746,0.004806628,0.034614321,0.637696147,0.002994542,0.011391846,2.443856052,40,40.68307159,0,2,2.728390018,0.380741713,15.70994326,11.48649339,121.4610216,0.025137913,0.034556438,0.1031095,0.062621227,0.202453217,0.340320837,0.395423285,0.432958768,0.44940016,0.456450252,0.247360966,0.192892236,0.0737172
6.889290216,12.05386591,3.804500336,0.018287022,0.031525062,0.602459463,0.004832976,0.015689378,2.793403704,40,44.83863164,0,2,6.272337623,0.339353267,25.25961669,5.456437297,93.3500583,0.024537795,0.033039085,0.117880285,0.124226749,0.270110823,0.366900704,0.413969015,0.450608309,0.466812539,0.472229935,0.263899248,0.196879095,0.069003508
