Wvl	n
2070	1.293476
2071	1.293424
2072	1.293373
2073	1.293322
2074	1.293272
2075	1.293223
2076	1.293173
2077	1.293123
2078	1.293072
2079	1.293020
2080	1.292966
2081	1.292910
2082	1.292853
2083	1.292794
2084	1.292734
2085	1.292673
2086	1.292613
2087	1.292554
2088	1.292495
2089	1.292438
2090	1.292382
2091	1.292328
2092	1.292273
2093	1.292220
2094	1.292166
2095	1.292113
2096	1.292060
2097	1.292007
2098	1.291953
2099	1.291899
2100	1.291845
2101	1.291791
2102	1.291738
2103	1.291684
2104	1.291631
2105	1.291577
2106	1.291522
2107	1.291467
2108	1.291410
2109	1.291353
2110	1.291294
2111	1.291233
2112	1.291171
2113	1.291108
2114	1.291044
2115	1.290980
2116	1.290917
2117	1.290855
2118	1.290795
2119	1.290736
2120	1.290678
2121	1.290620
2122	1.290563
2123	1.290506
2124	1.290450
2125	1.290393
2126	1.290336
2127	1.290279
2128	1.290221
2129	1.290163
2130	1.290105
2131	1.290046
2132	1.289988
2133	1.289929
2134	1.289870
2135	1.289812
2136	1.289752
2137	1.289693
2138	1.289634
2139	1.289575
2140	1.289515
2141	1.289455
2142	1.289395
2143	1.289335
2144	1.289275
2145	1.289215
2146	1.289154
2147	1.289094
2148	1.289033
2149	1.288972
2150	1.288911
2151	1.288850
2152	1.288789
2153	1.288727
2154	1.288666
2155	1.288604
2156	1.288542
2157	1.288480
2158	1.288418
2159	1.288356
2160	1.288293
2161	1.288230
2162	1.288168
2163	1.288105
2164	1.288041
2165	1.287978
2166	1.287915
2167	1.287851
2168	1.287787
2169	1.287723
2170	1.287659
2171	1.287594
2172	1.287530
2173	1.287465
2174	1.287400
2175	1.287335
2176	1.287270
2177	1.287205
2178	1.287139
2179	1.287073
2180	1.287007
2181	1.286941
2182	1.286875
2183	1.286809
2184	1.286742
2185	1.286675
2186	1.286608
2187	1.286541
2188	1.286474
2189	1.286406
2190	1.286339
2191	1.286271
2192	1.286203
2193	1.286134
2194	1.286066
2195	1.285997
2196	1.285928
2197	1.285859
2198	1.285790
2199	1.285721
2200	1.285651
2201	1.285581
2202	1.285511
2203	1.285441
