Wvl	alpha
1250	1.115894
1251	1.111327
1252	1.106785
1253	1.103193
1254	1.101225
1255	1.100543
1256	1.100558
1257	1.100646
1258	1.100039
1259	1.097935
1260	1.093930
1261	1.089212
1262	1.085368
1263	1.083534
1264	1.083047
1265	1.082794
1266	1.081936
1267	1.080729
1268	1.079701
1269	1.079381
1270	1.080252
1271	1.082613
1272	1.086714
1273	1.092508
1274	1.098744
1275	1.103869
1276	1.106853
1277	1.108744
1278	1.111111
1279	1.115216
1280	1.121090
1281	1.128460
1282	1.137051
1283	1.146452
1284	1.155709
1285	1.163734
1286	1.169846
1287	1.174994
1288	1.180536
1289	1.187549
1290	1.195982
1291	1.205505
1292	1.215787
1293	1.226642
1294	1.238462
1295	1.251785
1296	1.266821
1297	1.282468
1298	1.297299
1299	1.310374
1300	1.322713
1301	1.335826
1302	1.351223
1303	1.370018
1304	1.391740
1305	1.415522
1306	1.440444
1307	1.465376
1308	1.489134
1309	1.511028
1310	1.532345
1311	1.554867
1312	1.580374
1313	1.609896
1314	1.641458
1315	1.672331
1316	1.700675
1317	1.728193
1318	1.757476
1319	1.791113
1320	1.830456
1321	1.871905
1322	1.910621
1323	1.943417
1324	1.973706
1325	2.006549
1326	2.047010
1327	2.097870
1328	2.152786
1329	2.203133
1330	2.242950
1331	2.276928
1332	2.312421
1333	2.356784
1334	2.414518
1335	2.478714
1336	2.539611
1337	2.589728
1338	2.630696
1339	2.666427
1340	2.700832
1341	2.737599
1342	2.779524
1343	2.829181
1344	2.889143
1345	2.959786
1346	3.032701
1347	3.097279
1348	3.145677
1349	3.181105
1350	3.225513
1351	3.266700
1352	3.318738
1353	3.363100
1354	3.412252
1355	3.449000
1356	3.504268
1357	3.543900
1358	3.599800
1359	3.648355
1360	3.700600
1361	3.751827
1362	3.802100
1363	3.870500
1364	3.926738
1365	3.985300
1366	4.063982
1367	4.125397
1368	4.216400
1369	4.301516
1370	4.388952
1371	4.504100
1372	4.630224
1373	4.736629
1374	4.904000
1375	5.091507
1376	5.259921
1377	5.479100
1378	5.719700
1379	6.006339
1380	6.241762
1381	6.579700
1382	6.927100
1383	7.312753
1384	7.632697
1385	8.089400
1386	8.545300
1387	9.030400
1388	9.591056
1389	10.017890
1390	10.631000
1391	11.220000
1392	11.835000
1393	12.450000
1394	13.161723
1395	13.691005
1396	14.337092
1397	15.094000
1398	15.784000
1399	16.456000
1400	17.144000
1401	17.805000
1402	18.543946
1403	19.188174
1404	19.800020
1405	20.292651
1406	20.888231
1407	21.459762
1408	22.022355
1409	22.599000
1410	23.127000
1411	23.600000
1412	24.073000
1413	24.501000
1414	24.928000
1415	25.328000
1416	25.709000
1417	26.063000
1418	26.408000
1419	26.726000
1420	27.006304
1421	27.287937
1422	27.561461
1423	27.817888
1424	28.060008
1425	28.344665
1426	28.564249
1427	28.744728
1428	28.918000
1429	29.082000
1430	29.263000
1431	29.400000
1432	29.555000
1433	29.660565
1434	29.820309
1435	29.926013
1436	30.034000
1437	30.135000
1438	30.227000
1439	30.286805
1440	30.359419
1441	30.423913
1442	30.458000
1443	30.488000
1444	30.519000
1445	30.529643
1446	30.550063
1447	30.561000
1448	30.556000
1449	30.552438
1450	30.540719
1451	30.512000
1452	30.490000
1453	30.445939
1454	30.410464
1455	30.350000
1456	30.293000
1457	30.227814
1458	30.140965
1459	30.059000
1460	29.980949
1461	29.833805
1462	29.714000
1463	29.565428
1464	29.362338
1465	29.173000
1466	28.987180
1467	28.715926
1468	28.514000
1469	28.289687
1470	27.995764
1471	27.772000
1472	27.542415
1473	27.223000
1474	26.985457
1475	26.634943
1476	26.375000
1477	26.113421
1478	25.813000
1479	25.552402
1480	25.222233
1481	24.971000
1482	24.682898
1483	24.429000
1484	24.132282
1485	23.880000
1486	23.638598
1487	23.316000
1488	23.066133
1489	22.736000
1490	22.501889
1491	22.183000
1492	21.933012
1493	21.632000
1494	21.390778
1495	21.073000
1496	20.823237
1497	20.524000
1498	20.252940
1499	20.010000
1500	19.721739
1501	19.504916
1502	19.235000
1503	19.001459
1504	18.741000
1505	18.473819
1506	18.273000
1507	18.015035
1508	17.835821
1509	17.580000
1510	17.339390
1511	17.124000
1512	16.884215
1513	16.704918
1514	16.467000
1515	16.230401
1516	16.058507
1517	15.830000
1518	15.619436
1519	15.446097
1520	15.245000
1521	15.036564
1522	14.886062
1523	14.679000
1524	14.470595
1525	14.320320
1526	14.131000
1527	13.949000
1528	13.813919
1529	13.643062
1530	13.478000
1531	13.290615
1532	13.163548
1533	12.976000
1534	12.820000
1535	12.651069
1536	12.538260
1537	12.378000
1538	12.231000
1539	12.060925
1540	11.927479
1541	11.812343
1542	11.662000
1543	11.516000
1544	11.374018
1545	11.259006
1546	11.140545
1547	10.998000
1548	10.878000
1549	10.753321
